id;team_identifier;ans_artifact;ans_correction_method_ica;ans_correction_method_ssp;ans_correction_method_cca;ans_correction_method_asr;ans_correction_method_unknown;ans_correction_method_other;ans_correction_method_desc;ans_ica_algo;ans_ica_algo_desc;ans_bad_comp_sel_visual;ans_bad_comp_sel_thresh;ans_bad_comp_sel_plugin;ans_bad_comp_sel_unknown;ans_bad_comp_sel_other;ans_bad_comp_sel_desc;ans_thresh_method;ans_plugin_desc;ans_artifact_corrected_eyeblink;ans_artifact_corrected_heye_mov;ans_artifact_corrected_muscle;ans_artifact_corrected_cardiac;ans_artifact_corrected_ch_noise;ans_artifact_corrected_line_noise;ans_artifact_corrected_unknown;ans_artifact_corrected_other;ans_artifact_corrected_desc;ans_artifact_other_hp;ans_artifact_comments;time_submitted
65;7e05fa9e0f3d490f;1;1;0;0;0;0;1;Automatic artifact rejection;infomax;;0;0;1;0;0;;n/a;ADJUST;1;1;1;0;1;0;1;0;;;;2022-05-12 09:51:48
66;9783d08ae577eb9;1;1;0;0;0;0;0;;amica;;1;0;1;0;0;;We used visual inspection;;1;1;1;1;1;1;0;0;;;;2022-05-12 10:22:44
67;8107271d26b4e6ce;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;;;1;1;0;1;0;0;0;0;;;;2022-05-12 11:40:56
68;60197350a0c2b888;1;1;0;0;0;0;0;;infomax;;0;0;1;0;1;;;ICLabel;1;1;1;1;1;1;1;0;;;;2022-05-12 12:25:25
69;Translational and Cognitive Neuroimaging Laboratory;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;/;;1;1;0;1;1;0;0;0;;/;/;2022-05-12 14:40:05
70;da33cf2264c9baa2;1;1;0;0;0;0;0;;fastICA;;1;0;0;0;0;;;;1;1;0;0;0;0;0;0;;;;2022-05-12 15:05:58
71;Best of BESA;1;1;0;0;0;0;0;;ex_infomax;;1;0;0;0;0;;Not used.;;1;1;0;0;0;0;0;0;;;;2022-05-12 15:17:15
72;4f94a7cff1582ba8;1;1;0;0;0;0;0;;infomax;Infomax restricted;1;0;0;0;0;;;;1;1;0;1;0;0;0;0;;;;2022-05-12 15:55:58
73;8c587a4cbf53865d;1;1;0;0;0;0;0;;fastICA;;1;0;1;0;0;;;ica.find_bads_eog;1;1;0;1;0;0;0;0;;;;2022-05-12 16:22:58
74;03f53ea2afe035fd;1;1;0;0;0;0;0;;infomax;;1;0;0;0;0;;;;1;1;1;1;1;0;0;0;;;;2022-05-12 16:43:06
75;c58937f04a355198;1;1;0;0;0;0;0;;ex_infomax;;1;0;0;0;0;;;;1;1;1;1;1;0;0;0;;;;2022-05-12 16:48:31
76;3036fe9bffd01a2a;1;0;0;0;0;0;1;Ocular artifacts were corrected using the Gratton, Coles and Donchin method (1983), implemented in Brain Vision Analyzer.;;;0;0;0;0;1;Not applicable as we did not use ICA.;Not applicable.;;1;1;0;0;0;0;0;0;;No deviation.;No deviation.;2022-05-12 17:55:10
77;129c99e90c45f38c;1;1;0;0;0;0;0;;ex_infomax;;0;0;1;0;0;;;EyeCatch;1;1;0;0;0;0;0;0;;;;2022-05-12 18:08:31
78;73473e3e1798d1d2;1;1;0;0;0;0;0;;infomax;;0;0;1;0;0;;;MARA, ADJUST1.1.1, SASICA;1;1;1;1;1;1;0;0;;;;2022-05-12 18:20:40
79;dad87b78054de49d;1;1;0;0;0;0;0;;amica;;0;0;1;0;0;;"ARtefact: Brain, Muscle, Eye, Heart, Line Noise, Channel Noise, Other.
Flagging: [NaN NaN;0.8 1;0.8 1;0.8 1;0.8 1;0.8 1;NaN NaN]);

Thus e.g. muscle between 0.8 and 1 was flagged.";ICLabel;1;1;1;1;1;0;0;0;;;;2022-05-12 18:28:34
80;37ddc3bdb7342c83;1;1;0;0;0;0;0;;;runica: pop_runica(EEG, 'icatype', 'runica', 'extended', 1, 'pca',50);0;0;1;0;0;;"We used IClabel with default parameters.
If an IC had a probability of >10% of being classified as eyemovement, heart, line noise; or a probability of >50% of being classified as muscle activity the";ICLabel;1;1;1;1;1;1;0;0;;;;2022-05-12 19:45:02
